Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours),Loss per User,Resolution Speed
UK,2018,Malware,Telecommunications,23.27,233460,Insider,Unpatched Software,Antivirus,11.0,9.967446243467831e-05,Fast (<24h)
UK,2015,SQL Injection,Banking,6.96,474585,Nation-state,Unpatched Software,Firewall,34.0,1.466544454628781e-05,Medium (24-72h)
Russia,2024,SQL Injection,Government,41.65,674211,Hacker Group,Weak Passwords,Firewall,54.0,6.177591288187229e-05,Medium (24-72h)
Brazil,2020,Phishing,Healthcare,18.79,267178,Nation-state,Social Engineering,Firewall,56.0,7.032764673738106e-05,Medium (24-72h)
Russia,2022,DDoS,Healthcare,58.93,104121,Hacker Group,Zero-day,Firewall,15.0,0.0005659761239327321,Fast (<24h)
UK,2020,Ransomware,IT,83.29,217598,Hacker Group,Unpatched Software,Encryption,24.0,0.00038277006222483666,Fast (<24h)
China,2024,Ransomware,Government,65.96,44082,Nation-state,Social Engineering,VPN,48.0,0.0014963023456286012,Medium (24-72h)
India,2018,Phishing,Banking,71.58,31733,Hacker Group,Unpatched Software,Encryption,49.0,0.0022556959631928907,Medium (24-72h)
Australia,2022,Man-in-the-Middle,Banking,34.16,346224,Nation-state,Zero-day,Encryption,64.0,9.866444844955866e-05,Medium (24-72h)
Australia,2015,DDoS,IT,61.01,419127,Unknown,Social Engineering,Firewall,26.0,0.0001455644709121579,Medium (24-72h)
USA,2024,Man-in-the-Middle,Education,53.59,810539,Unknown,Weak Passwords,Antivirus,22.0,6.611649778727489e-05,Fast (<24h)
USA,2020,DDoS,Retail,11.79,692784,Hacker Group,Unpatched Software,Firewall,2.0,1.7018291415506132e-05,Fast (<24h)
USA,2020,SQL Injection,Retail,16.98,315050,Unknown,Unpatched Software,Encryption,8.0,5.3896206951277574e-05,Fast (<24h)
India,2016,SQL Injection,IT,29.24,786464,Unknown,Weak Passwords,Encryption,38.0,3.7179069862066155e-05,Medium (24-72h)
UK,2023,Man-in-the-Middle,IT,20.35,140061,Hacker Group,Weak Passwords,AI-based Detection,42.0,0.00014529383625705943,Medium (24-72h)
Brazil,2021,SQL Injection,IT,34.32,673923,Hacker Group,Unpatched Software,Encryption,3.0,5.092569922676626e-05,Fast (<24h)
Japan,2017,SQL Injection,Government,35.88,221051,Insider,Zero-day,Encryption,18.0,0.00016231548375714202,Fast (<24h)
Russia,2017,SQL Injection,Banking,33.84,442940,Nation-state,Unpatched Software,AI-based Detection,7.0,7.639860929245497e-05,Fast (<24h)
Russia,2024,SQL Injection,Telecommunications,17.21,677688,Nation-state,Zero-day,Encryption,31.0,2.5395167097543413e-05,Medium (24-72h)
Russia,2017,Ransomware,Education,95.08,679860,Unknown,Social Engineering,Encryption,66.0,0.0001398523225369929,Medium (24-72h)
Germany,2016,Phishing,Retail,27.85,963983,Unknown,Zero-day,Encryption,45.0,2.8890550974446646e-05,Medium (24-72h)
UK,2020,DDoS,Retail,18.52,125100,Unknown,Weak Passwords,VPN,61.0,0.0001480415667466027,Medium (24-72h)
China,2016,DDoS,Education,81.31,815317,Hacker Group,Social Engineering,Antivirus,72.0,9.972808122484874e-05,Medium (24-72h)
China,2020,Man-in-the-Middle,Retail,34.82,500252,Nation-state,Zero-day,Antivirus,29.0,6.960491912076313e-05,Medium (24-72h)
India,2018,DDoS,Education,55.3,512953,Unknown,Weak Passwords,Firewall,57.0,0.00010780714802330818,Medium (24-72h)
India,2023,Phishing,IT,88.71,337377,Hacker Group,Social Engineering,AI-based Detection,23.0,0.00026294027156563725,Fast (<24h)
India,2024,DDoS,Retail,0.6,766733,Insider,Zero-day,AI-based Detection,55.0,7.825409888448782e-07,Medium (24-72h)
USA,2023,Malware,Retail,50.02,578310,Nation-state,Weak Passwords,Antivirus,15.0,8.649340319205963e-05,Fast (<24h)
France,2022,Man-in-the-Middle,Telecommunications,12.96,255574,Insider,Social Engineering,Firewall,69.0,5.070938358361962e-05,Medium (24-72h)
China,2023,Phishing,IT,43.58,169152,Nation-state,Unpatched Software,Encryption,49.0,0.0002576381006432085,Medium (24-72h)
USA,2020,Man-in-the-Middle,IT,33.22,216472,Unknown,Zero-day,Encryption,55.0,0.0001534609556894194,Medium (24-72h)
Japan,2020,Phishing,Retail,38.96,370096,Nation-state,Weak Passwords,Encryption,23.0,0.00010526998400415028,Fast (<24h)
India,2020,Phishing,Telecommunications,30.14,742555,Insider,Zero-day,Firewall,57.0,4.0589585956595806e-05,Medium (24-72h)
Russia,2020,Man-in-the-Middle,IT,21.72,870019,Insider,Social Engineering,AI-based Detection,5.0,2.4964972029346486e-05,Fast (<24h)
Australia,2022,Malware,IT,93.2,941679,Hacker Group,Social Engineering,Antivirus,43.0,9.897215505496034e-05,Medium (24-72h)
France,2024,DDoS,Retail,88.17,738419,Unknown,Zero-day,Firewall,11.0,0.0001194037531536973,Fast (<24h)
Brazil,2018,Phishing,Retail,42.46,4136,Nation-state,Zero-day,Encryption,23.0,0.010265957446808511,Fast (<24h)
India,2022,SQL Injection,Education,61.41,995847,Nation-state,Social Engineering,Encryption,1.0,6.166609931043623e-05,Fast (<24h)
Japan,2022,Ransomware,Education,51.51,536995,Hacker Group,Weak Passwords,Encryption,3.0,9.592268084432816e-05,Fast (<24h)
Germany,2016,Malware,Telecommunications,77.7,57200,Hacker Group,Social Engineering,VPN,26.0,0.0013583916083916084,Medium (24-72h)
USA,2016,Phishing,Government,14.65,936566,Nation-state,Social Engineering,VPN,61.0,1.5642250519450847e-05,Medium (24-72h)
Japan,2019,DDoS,Healthcare,68.4,567370,Insider,Unpatched Software,VPN,9.0,0.00012055625077110176,Fast (<24h)
India,2015,Malware,Banking,34.51,970056,Hacker Group,Unpatched Software,Firewall,30.0,3.5575265757853154e-05,Medium (24-72h)
Brazil,2020,Ransomware,IT,71.74,3432,Hacker Group,Unpatched Software,AI-based Detection,45.0,0.0209032634032634,Medium (24-72h)
Brazil,2015,Malware,Education,37.54,49473,Insider,Social Engineering,Firewall,51.0,0.0007587977280536859,Medium (24-72h)
France,2019,Man-in-the-Middle,IT,76.35,460984,Hacker Group,Zero-day,Firewall,55.0,0.00016562396959547403,Medium (24-72h)
UK,2024,Phishing,IT,71.2,228010,Nation-state,Social Engineering,Antivirus,59.0,0.00031226700583307753,Medium (24-72h)
Russia,2024,Ransomware,Government,48.88,172789,Hacker Group,Unpatched Software,VPN,10.0,0.0002828883783111194,Fast (<24h)
China,2020,Man-in-the-Middle,Retail,48.24,338732,Nation-state,Unpatched Software,Firewall,15.0,0.00014241347141693138,Fast (<24h)
Germany,2017,Ransomware,Healthcare,32.0,175755,Insider,Weak Passwords,Firewall,30.0,0.0001820716338084265,Medium (24-72h)
Brazil,2023,DDoS,Education,50.34,897521,Nation-state,Social Engineering,AI-based Detection,19.0,5.608782412890618e-05,Fast (<24h)
Russia,2016,Ransomware,Healthcare,5.18,719532,Insider,Unpatched Software,VPN,10.0,7.19912387496317e-06,Fast (<24h)
Australia,2024,DDoS,Government,95.28,583925,Insider,Zero-day,Encryption,70.0,0.000163171640193518,Medium (24-72h)
Russia,2016,Phishing,Retail,70.4,480522,Unknown,Zero-day,Antivirus,72.0,0.00014650733993448793,Medium (24-72h)
Brazil,2015,SQL Injection,IT,47.2,16957,Unknown,Zero-day,Firewall,49.0,0.00278351123429852,Medium (24-72h)
France,2016,Ransomware,IT,29.35,316228,Unknown,Unpatched Software,VPN,7.0,9.281278065193469e-05,Fast (<24h)
Australia,2018,SQL Injection,Banking,20.28,363414,Insider,Unpatched Software,Antivirus,59.0,5.5804124221961733e-05,Medium (24-72h)
UK,2015,Man-in-the-Middle,Telecommunications,71.9,733671,Insider,Zero-day,VPN,20.0,9.800032984811994e-05,Fast (<24h)
France,2019,SQL Injection,Telecommunications,27.91,399457,Nation-state,Weak Passwords,Firewall,48.0,6.986984831909317e-05,Medium (24-72h)
China,2017,DDoS,Government,57.34,171772,Nation-state,Social Engineering,Firewall,8.0,0.00033381459143515827,Fast (<24h)
USA,2015,Phishing,Government,82.4,197305,Insider,Unpatched Software,AI-based Detection,34.0,0.00041762753097995494,Medium (24-72h)
Russia,2023,Ransomware,Healthcare,15.08,677971,Insider,Social Engineering,VPN,51.0,2.224283929548609e-05,Medium (24-72h)
India,2021,Man-in-the-Middle,Banking,55.12,942454,Hacker Group,Social Engineering,VPN,66.0,5.84856130909307e-05,Medium (24-72h)
Russia,2022,Ransomware,Government,38.84,211205,Insider,Unpatched Software,Antivirus,54.0,0.00018389716152553208,Medium (24-72h)
Japan,2024,Malware,Telecommunications,42.79,483399,Insider,Zero-day,Antivirus,50.0,8.851900810717441e-05,Medium (24-72h)
China,2016,DDoS,Telecommunications,97.83,699791,Nation-state,Weak Passwords,Encryption,2.0,0.0001397988828092959,Fast (<24h)
Germany,2019,Phishing,Education,10.04,679314,Nation-state,Unpatched Software,Antivirus,39.0,1.4779615906635221e-05,Medium (24-72h)
Brazil,2020,SQL Injection,Retail,96.97,466897,Insider,Unpatched Software,VPN,58.0,0.00020769034712152788,Medium (24-72h)
Brazil,2024,SQL Injection,Healthcare,41.05,175957,Hacker Group,Zero-day,Antivirus,69.0,0.00023329563472893945,Medium (24-72h)
India,2019,Ransomware,Government,10.37,912202,Nation-state,Weak Passwords,VPN,15.0,1.1368096101521372e-05,Fast (<24h)
Russia,2019,DDoS,Education,33.73,985398,Nation-state,Social Engineering,Antivirus,54.0,3.4229823888418684e-05,Medium (24-72h)
China,2023,SQL Injection,Education,4.18,715127,Nation-state,Weak Passwords,Antivirus,60.0,5.845115622819443e-06,Medium (24-72h)
USA,2021,Malware,Retail,72.24,472835,Hacker Group,Unpatched Software,Encryption,57.0,0.00015278056827434515,Medium (24-72h)
Australia,2016,DDoS,Healthcare,98.25,412019,Unknown,Weak Passwords,Antivirus,34.0,0.00023845987685033944,Medium (24-72h)
India,2021,SQL Injection,Retail,85.69,172469,Insider,Weak Passwords,Antivirus,16.0,0.0004968429108999299,Fast (<24h)
UK,2015,Phishing,Banking,39.12,893284,Unknown,Unpatched Software,AI-based Detection,21.0,4.379346322110325e-05,Fast (<24h)
India,2021,Malware,Telecommunications,82.66,586,Hacker Group,Zero-day,VPN,23.0,0.14105802047781568,Fast (<24h)
Japan,2017,Phishing,IT,49.12,845169,Nation-state,Social Engineering,VPN,1.0,5.811855380403209e-05,Fast (<24h)
Germany,2018,Ransomware,Government,89.36,184748,Unknown,Unpatched Software,Firewall,4.0,0.0004836858856388161,Fast (<24h)
Japan,2021,Malware,Healthcare,77.84,783976,Nation-state,Weak Passwords,Firewall,62.0,9.928875373735931e-05,Medium (24-72h)
France,2015,Phishing,IT,49.84,282583,Unknown,Weak Passwords,VPN,15.0,0.00017637295944908222,Fast (<24h)
Germany,2020,SQL Injection,Healthcare,96.31,591828,Unknown,Unpatched Software,Encryption,16.0,0.0001627330913711416,Fast (<24h)
India,2018,SQL Injection,Government,18.44,27344,Nation-state,Zero-day,VPN,1.0,0.0006743709771796372,Fast (<24h)
Australia,2024,Ransomware,Healthcare,18.16,200307,Unknown,Social Engineering,Antivirus,59.0,9.06608356173274e-05,Medium (24-72h)
China,2018,Man-in-the-Middle,IT,68.28,528411,Insider,Zero-day,AI-based Detection,10.0,0.0001292175976654536,Fast (<24h)
France,2015,Phishing,Banking,95.72,551812,Insider,Weak Passwords,Encryption,69.0,0.0001734648757185418,Medium (24-72h)
Brazil,2019,SQL Injection,Education,96.6,975019,Unknown,Unpatched Software,Firewall,38.0,9.907499238476378e-05,Medium (24-72h)
China,2015,DDoS,Government,97.15,399851,Nation-state,Social Engineering,VPN,38.0,0.0002429655046504823,Medium (24-72h)
India,2024,Ransomware,Government,79.3,998833,Hacker Group,Social Engineering,Firewall,21.0,7.939265122397838e-05,Fast (<24h)
France,2017,Man-in-the-Middle,Education,76.35,517640,Hacker Group,Unpatched Software,Firewall,4.0,0.0001474963294954022,Fast (<24h)
Russia,2023,DDoS,Banking,33.51,615332,Hacker Group,Social Engineering,AI-based Detection,65.0,5.4458406193729564e-05,Medium (24-72h)
France,2017,SQL Injection,Healthcare,96.08,592364,Insider,Weak Passwords,Antivirus,21.0,0.0001621975677117448,Fast (<24h)
China,2020,Phishing,Education,33.69,943680,Insider,Zero-day,AI-based Detection,46.0,3.5700661241098674e-05,Medium (24-72h)
Brazil,2017,Man-in-the-Middle,Retail,17.99,506551,Unknown,Unpatched Software,Antivirus,53.0,3.551468657647502e-05,Medium (24-72h)
Japan,2022,Ransomware,Government,86.84,122651,Insider,Weak Passwords,AI-based Detection,59.0,0.0007080252097414615,Medium (24-72h)
USA,2018,Man-in-the-Middle,Retail,97.62,459039,Nation-state,Weak Passwords,Firewall,68.0,0.00021266166926993133,Medium (24-72h)
Germany,2021,Ransomware,IT,25.85,176331,Insider,Weak Passwords,Antivirus,25.0,0.00014659929337439248,Medium (24-72h)
USA,2018,Ransomware,Healthcare,27.37,543437,Unknown,Unpatched Software,Firewall,20.0,5.036462368222996e-05,Fast (<24h)
Germany,2022,SQL Injection,Telecommunications,29.02,859311,Insider,Zero-day,AI-based Detection,47.0,3.377124230924543e-05,Medium (24-72h)
USA,2018,DDoS,Retail,90.78,877041,Unknown,Unpatched Software,VPN,48.0,0.00010350713364597551,Medium (24-72h)
France,2022,Ransomware,Healthcare,42.33,657939,Nation-state,Social Engineering,Antivirus,47.0,6.433727138838098e-05,Medium (24-72h)
Japan,2019,DDoS,Banking,81.89,920270,Nation-state,Unpatched Software,Antivirus,20.0,8.898475447423039e-05,Fast (<24h)
USA,2015,Ransomware,Healthcare,43.81,905935,Unknown,Unpatched Software,VPN,60.0,4.835887784443697e-05,Medium (24-72h)
Australia,2019,Malware,Telecommunications,93.71,217863,Insider,Unpatched Software,VPN,31.0,0.00043013269807172397,Medium (24-72h)
UK,2020,Man-in-the-Middle,Government,54.29,930468,Insider,Social Engineering,AI-based Detection,35.0,5.834698237875994e-05,Medium (24-72h)
Japan,2022,Phishing,Healthcare,55.72,179545,Unknown,Zero-day,Encryption,15.0,0.00031034002617728147,Fast (<24h)
India,2023,Ransomware,Retail,5.57,582097,Insider,Weak Passwords,Antivirus,40.0,9.568851926740733e-06,Medium (24-72h)
France,2023,SQL Injection,Banking,48.1,360752,Unknown,Zero-day,Antivirus,21.0,0.00013333259413669224,Fast (<24h)
India,2020,Phishing,Retail,25.79,907128,Insider,Unpatched Software,Antivirus,13.0,2.8430386891375857e-05,Fast (<24h)
UK,2024,Man-in-the-Middle,Banking,14.84,817793,Hacker Group,Social Engineering,VPN,64.0,1.8146401350953115e-05,Medium (24-72h)
China,2024,Malware,Healthcare,85.76,922209,Nation-state,Zero-day,Antivirus,27.0,9.299410437330367e-05,Medium (24-72h)
USA,2019,DDoS,Retail,18.76,411707,Insider,Social Engineering,VPN,42.0,4.556638580349618e-05,Medium (24-72h)
India,2020,Phishing,Healthcare,38.19,847958,Insider,Weak Passwords,Firewall,32.0,4.503760799473559e-05,Medium (24-72h)
India,2015,Man-in-the-Middle,Banking,38.1,187807,Nation-state,Unpatched Software,VPN,37.0,0.00020286783772702828,Medium (24-72h)
China,2024,SQL Injection,Telecommunications,10.18,637350,Unknown,Weak Passwords,Antivirus,52.0,1.597238565937083e-05,Medium (24-72h)
China,2024,SQL Injection,IT,36.27,237068,Hacker Group,Zero-day,Encryption,65.0,0.00015299407764860715,Medium (24-72h)
Australia,2022,Ransomware,Government,92.07,819812,Nation-state,Unpatched Software,Encryption,63.0,0.00011230623606387805,Medium (24-72h)
Brazil,2023,SQL Injection,Healthcare,72.9,434510,Hacker Group,Social Engineering,Firewall,72.0,0.00016777519504729467,Medium (24-72h)
USA,2019,DDoS,Telecommunications,57.52,513601,Nation-state,Unpatched Software,VPN,14.0,0.00011199355141442482,Fast (<24h)
Japan,2015,Malware,Healthcare,5.79,821803,Unknown,Social Engineering,Firewall,40.0,7.045484136709163e-06,Medium (24-72h)
Russia,2020,Man-in-the-Middle,IT,14.68,12585,Unknown,Zero-day,Antivirus,30.0,0.0011664680174811282,Medium (24-72h)
Russia,2020,Man-in-the-Middle,Telecommunications,10.12,405253,Hacker Group,Unpatched Software,Antivirus,52.0,2.497205449435291e-05,Medium (24-72h)
Japan,2017,DDoS,IT,86.89,703035,Unknown,Unpatched Software,Firewall,15.0,0.0001235927087556096,Fast (<24h)
Australia,2022,Phishing,Government,9.84,580402,Nation-state,Social Engineering,VPN,70.0,1.695376652733795e-05,Medium (24-72h)
France,2017,Man-in-the-Middle,Education,49.94,640572,Hacker Group,Social Engineering,Firewall,51.0,7.796157184516338e-05,Medium (24-72h)
Japan,2023,Phishing,Banking,75.13,85528,Hacker Group,Social Engineering,VPN,55.0,0.000878425778692358,Medium (24-72h)
UK,2024,Malware,Healthcare,33.21,79940,Unknown,Zero-day,Firewall,64.0,0.0004154365774330748,Medium (24-72h)
China,2023,SQL Injection,Telecommunications,54.41,215401,Hacker Group,Social Engineering,VPN,50.0,0.00025259864160333517,Medium (24-72h)
France,2018,Malware,IT,59.56,450313,Nation-state,Zero-day,AI-based Detection,26.0,0.00013226355890236347,Medium (24-72h)
Australia,2016,Malware,Retail,45.71,461668,Nation-state,Unpatched Software,Firewall,10.0,9.901054437387907e-05,Fast (<24h)
France,2021,Man-in-the-Middle,Banking,4.94,71156,Insider,Social Engineering,Encryption,34.0,6.942492551576818e-05,Medium (24-72h)
India,2017,Ransomware,Government,89.47,201732,Unknown,Zero-day,Antivirus,39.0,0.00044350921023932744,Medium (24-72h)
Russia,2018,Man-in-the-Middle,Government,45.91,322132,Nation-state,Weak Passwords,Encryption,44.0,0.00014251921572523064,Medium (24-72h)
Japan,2021,Phishing,Banking,82.85,854309,Insider,Zero-day,Antivirus,16.0,9.697896194468277e-05,Fast (<24h)
USA,2016,Phishing,Retail,89.85,998085,Insider,Zero-day,VPN,7.0,9.002239288236973e-05,Fast (<24h)
France,2018,Malware,IT,10.81,479628,Insider,Weak Passwords,VPN,13.0,2.2538300516233416e-05,Fast (<24h)
Russia,2022,Malware,Healthcare,34.32,554162,Insider,Weak Passwords,Encryption,33.0,6.193134859481523e-05,Medium (24-72h)
USA,2022,Phishing,Government,92.54,653402,Hacker Group,Social Engineering,Firewall,5.0,0.00014162797175398914,Fast (<24h)
UK,2016,Man-in-the-Middle,Government,62.9,119785,Hacker Group,Unpatched Software,Encryption,14.0,0.0005251074842426013,Fast (<24h)
Germany,2018,DDoS,Banking,48.76,754656,Hacker Group,Unpatched Software,VPN,35.0,6.461222066742992e-05,Medium (24-72h)
USA,2016,Malware,Retail,41.11,848855,Unknown,Unpatched Software,VPN,37.0,4.842994386556008e-05,Medium (24-72h)
China,2021,SQL Injection,Healthcare,57.2,328454,Nation-state,Zero-day,VPN,10.0,0.00017414919593002369,Fast (<24h)
Russia,2018,DDoS,Education,13.13,510702,Hacker Group,Weak Passwords,Firewall,15.0,2.570970938042146e-05,Fast (<24h)
Australia,2015,Man-in-the-Middle,Education,20.96,248083,Hacker Group,Social Engineering,Encryption,70.0,8.448785285569749e-05,Medium (24-72h)
Brazil,2023,DDoS,Government,42.75,746425,Unknown,Zero-day,VPN,24.0,5.7273001306226346e-05,Fast (<24h)
Japan,2018,Ransomware,Education,82.89,336607,Unknown,Zero-day,AI-based Detection,17.0,0.000246251563395889,Fast (<24h)
Brazil,2021,Ransomware,Government,21.21,570810,Insider,Social Engineering,Firewall,72.0,3.715772323540232e-05,Medium (24-72h)
France,2020,Malware,Banking,12.25,162930,Insider,Unpatched Software,Firewall,13.0,7.518566255447124e-05,Fast (<24h)
Japan,2015,SQL Injection,Education,61.87,244406,Nation-state,Social Engineering,VPN,43.0,0.00025314435815814666,Medium (24-72h)
Japan,2016,DDoS,Education,71.12,604557,Nation-state,Social Engineering,Encryption,20.0,0.00011763985860721156,Fast (<24h)
Germany,2024,Man-in-the-Middle,Education,26.58,313397,Hacker Group,Social Engineering,AI-based Detection,36.0,8.48125540448696e-05,Medium (24-72h)
Australia,2023,Malware,Retail,5.24,696902,Nation-state,Unpatched Software,Encryption,21.0,7.518991192448867e-06,Fast (<24h)
UK,2024,Phishing,Banking,30.39,156576,Hacker Group,Unpatched Software,VPN,72.0,0.000194091048436542,Medium (24-72h)
UK,2020,Phishing,Healthcare,66.55,843310,Hacker Group,Zero-day,Antivirus,71.0,7.891522690351116e-05,Medium (24-72h)
China,2016,DDoS,Telecommunications,83.02,281862,Insider,Social Engineering,AI-based Detection,4.0,0.00029454130035265485,Fast (<24h)
India,2024,Ransomware,IT,88.23,526308,Insider,Unpatched Software,Antivirus,23.0,0.00016763948106431975,Fast (<24h)
Russia,2018,DDoS,IT,5.18,826924,Insider,Social Engineering,VPN,35.0,6.2641790539396605e-06,Medium (24-72h)
China,2024,DDoS,IT,13.77,928751,Insider,Social Engineering,Encryption,26.0,1.4826363578612566e-05,Medium (24-72h)
China,2021,Ransomware,Education,21.9,304804,Hacker Group,Weak Passwords,AI-based Detection,53.0,7.1849450794609e-05,Medium (24-72h)
Brazil,2024,Man-in-the-Middle,Education,34.42,960625,Nation-state,Weak Passwords,Firewall,48.0,3.583083929733247e-05,Medium (24-72h)
France,2019,Ransomware,Government,57.9,264088,Unknown,Weak Passwords,AI-based Detection,28.0,0.00021924510011814242,Medium (24-72h)
Australia,2022,Phishing,Healthcare,61.97,633750,Insider,Unpatched Software,Antivirus,45.0,9.778303747534517e-05,Medium (24-72h)
China,2021,Ransomware,Healthcare,56.11,255531,Unknown,Social Engineering,Firewall,17.0,0.00021958196852828033,Fast (<24h)
Australia,2018,Ransomware,Banking,50.64,874035,Insider,Unpatched Software,Antivirus,38.0,5.7938183253531036e-05,Medium (24-72h)
USA,2017,DDoS,Healthcare,64.99,632431,Insider,Zero-day,VPN,55.0,0.000102762198563954,Medium (24-72h)
Brazil,2018,Ransomware,Education,69.04,939146,Nation-state,Zero-day,Firewall,56.0,7.351359639502272e-05,Medium (24-72h)
India,2022,Man-in-the-Middle,Retail,13.82,633855,Hacker Group,Social Engineering,Antivirus,37.0,2.180309376750203e-05,Medium (24-72h)
Australia,2016,Malware,Government,22.48,686176,Nation-state,Zero-day,Firewall,62.0,3.276127407545586e-05,Medium (24-72h)
China,2022,Malware,Retail,11.31,561807,Unknown,Zero-day,Antivirus,17.0,2.0131468636026253e-05,Fast (<24h)
India,2023,SQL Injection,Government,60.53,15768,Unknown,Zero-day,VPN,66.0,0.003838787417554541,Medium (24-72h)
Germany,2019,Malware,Healthcare,98.45,32423,Hacker Group,Weak Passwords,Antivirus,45.0,0.003036424760201092,Medium (24-72h)
China,2021,SQL Injection,IT,97.06,329378,Nation-state,Weak Passwords,VPN,61.0,0.0002946766329263035,Medium (24-72h)
India,2020,Phishing,Healthcare,64.7,541451,Hacker Group,Weak Passwords,Encryption,17.0,0.00011949373073463712,Fast (<24h)
China,2020,Man-in-the-Middle,Education,1.05,255393,Unknown,Unpatched Software,Encryption,71.0,4.1113108033501315e-06,Medium (24-72h)
Japan,2017,Phishing,Government,89.97,141115,Hacker Group,Zero-day,AI-based Detection,9.0,0.0006375651064734437,Fast (<24h)
India,2015,Man-in-the-Middle,Telecommunications,48.58,358210,Nation-state,Zero-day,AI-based Detection,11.0,0.0001356187711119176,Fast (<24h)
Japan,2023,Man-in-the-Middle,Education,16.42,60322,Insider,Zero-day,VPN,22.0,0.00027220582871920695,Fast (<24h)
China,2019,Ransomware,Government,15.42,555153,Unknown,Zero-day,Encryption,11.0,2.7776126581320824e-05,Fast (<24h)
India,2018,SQL Injection,Healthcare,47.15,98266,Insider,Social Engineering,Firewall,18.0,0.0004798200801905033,Fast (<24h)
Russia,2019,Man-in-the-Middle,IT,52.8,633511,Insider,Zero-day,VPN,58.0,8.334504057545961e-05,Medium (24-72h)
UK,2015,Man-in-the-Middle,Banking,64.88,976213,Unknown,Social Engineering,Firewall,28.0,6.646090556056925e-05,Medium (24-72h)
Brazil,2016,DDoS,Telecommunications,94.1,838739,Unknown,Social Engineering,VPN,21.0,0.0001121922314331395,Fast (<24h)
China,2023,Ransomware,IT,23.18,367503,Nation-state,Weak Passwords,Encryption,17.0,6.307431503960512e-05,Fast (<24h)
China,2018,Ransomware,Education,17.44,598614,Insider,Social Engineering,VPN,59.0,2.9133966128423327e-05,Medium (24-72h)
France,2022,Phishing,Retail,22.72,629571,Hacker Group,Unpatched Software,VPN,41.0,3.608806631817539e-05,Medium (24-72h)
Japan,2021,Man-in-the-Middle,Education,69.99,834355,Nation-state,Unpatched Software,AI-based Detection,71.0,8.388515679776593e-05,Medium (24-72h)
USA,2020,Man-in-the-Middle,IT,87.88,731495,Nation-state,Unpatched Software,Antivirus,3.0,0.00012013752657229372,Fast (<24h)
UK,2020,SQL Injection,Retail,69.91,354637,Insider,Social Engineering,VPN,63.0,0.00019713115100793204,Medium (24-72h)
USA,2020,Ransomware,Banking,27.45,60428,Nation-state,Weak Passwords,Antivirus,27.0,0.00045425961474813,Medium (24-72h)
China,2024,DDoS,Retail,13.17,95351,Nation-state,Unpatched Software,Antivirus,11.0,0.00013812125724953068,Fast (<24h)
Brazil,2020,Phishing,Retail,50.99,826159,Insider,Weak Passwords,VPN,3.0,6.171935426473596e-05,Fast (<24h)
France,2020,SQL Injection,Healthcare,66.92,234301,Insider,Zero-day,AI-based Detection,32.0,0.0002856155116708849,Medium (24-72h)
UK,2020,Phishing,Healthcare,39.47,551014,Nation-state,Social Engineering,Firewall,71.0,7.16315737894137e-05,Medium (24-72h)
Brazil,2017,SQL Injection,Telecommunications,4.35,809757,Nation-state,Social Engineering,VPN,61.0,5.3719819649598575e-06,Medium (24-72h)
UK,2017,Malware,Healthcare,24.06,612319,Unknown,Social Engineering,Antivirus,47.0,3.9293244207676065e-05,Medium (24-72h)
UK,2015,Phishing,Telecommunications,21.8,312051,Nation-state,Unpatched Software,VPN,41.0,6.986037538735656e-05,Medium (24-72h)
USA,2018,Phishing,Banking,89.74,279786,Insider,Zero-day,VPN,46.0,0.0003207451409291387,Medium (24-72h)
Australia,2016,Phishing,Government,72.34,847817,Hacker Group,Social Engineering,Firewall,13.0,8.532501707325992e-05,Fast (<24h)
Australia,2016,Man-in-the-Middle,Education,37.48,382682,Nation-state,Zero-day,Firewall,12.0,9.794032643291295e-05,Fast (<24h)
USA,2021,Phishing,IT,38.2,159917,Insider,Zero-day,Antivirus,47.0,0.000238873915843844,Medium (24-72h)
France,2023,Man-in-the-Middle,Government,85.85,841548,Unknown,Zero-day,Firewall,68.0,0.00010201438301796213,Medium (24-72h)
Japan,2017,DDoS,Healthcare,5.5,751586,Nation-state,Social Engineering,AI-based Detection,24.0,7.317858501888007e-06,Fast (<24h)
Germany,2024,Man-in-the-Middle,Banking,53.51,680154,Nation-state,Zero-day,Firewall,2.0,7.867335926863621e-05,Fast (<24h)
France,2023,Phishing,Education,37.38,978508,Insider,Weak Passwords,Firewall,42.0,3.820101624105271e-05,Medium (24-72h)
Germany,2020,Man-in-the-Middle,IT,84.55,392247,Unknown,Zero-day,Antivirus,7.0,0.000215552955153258,Fast (<24h)
Russia,2023,SQL Injection,Retail,34.87,446911,Unknown,Weak Passwords,Firewall,25.0,7.802448362201869e-05,Medium (24-72h)
Australia,2023,Ransomware,IT,17.26,777799,Insider,Weak Passwords,Firewall,2.0,2.2190823078970275e-05,Fast (<24h)
Australia,2016,Ransomware,Healthcare,82.99,799581,Nation-state,Zero-day,AI-based Detection,50.0,0.00010379186098719203,Medium (24-72h)
Germany,2015,Man-in-the-Middle,Retail,85.34,819676,Hacker Group,Zero-day,Antivirus,59.0,0.00010411430858046351,Medium (24-72h)
Japan,2023,SQL Injection,Telecommunications,31.46,192430,Nation-state,Unpatched Software,AI-based Detection,49.0,0.0001634880216182508,Medium (24-72h)
