Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours),Loss per User,Resolution Speed,Cluster,Threat Profile
France,2020,Ransomware,Telecommunications,10.52,253094,Hacker Group,Unpatched Software,VPN,19.0,4.156558432835231e-05,Fast (<24h),4,Standard: Moderate Impact
China,2015,SQL Injection,Telecommunications,34.84,712886,Hacker Group,Weak Passwords,Antivirus,7.0,4.8871769118765136e-05,Fast (<24h),2,Critical: High Impact on Both
China,2019,Phishing,IT,5.05,65176,Unknown,Weak Passwords,Encryption,49.0,7.748250889898121e-05,Medium (24-72h),3,Standard: Moderate Impact
Germany,2020,SQL Injection,IT,54.59,248356,Nation-state,Weak Passwords,AI-based Detection,25.0,0.0002198054405772,Medium (24-72h),1,Targeted: High Financial Impact
China,2020,DDoS,Education,52.36,499615,Hacker Group,Unpatched Software,Antivirus,19.0,0.0001048006965363,Fast (<24h),2,Critical: High Impact on Both
Russia,2016,Man-in-the-Middle,Telecommunications,10.2,446917,Unknown,Unpatched Software,Firewall,1.0,2.282302977957876e-05,Fast (<24h),4,Standard: Moderate Impact
USA,2023,SQL Injection,Education,77.96,164892,Insider,Weak Passwords,Firewall,63.0,0.0004727943138539,Medium (24-72h),3,Standard: Moderate Impact
UK,2022,SQL Injection,IT,61.97,627852,Nation-state,Unpatched Software,VPN,23.0,9.870160483680868e-05,Fast (<24h),2,Critical: High Impact on Both
UK,2016,DDoS,Banking,61.15,219846,Insider,Social Engineering,AI-based Detection,13.0,0.0002781492499294,Fast (<24h),1,Targeted: High Financial Impact
Australia,2024,Malware,Education,83.04,862049,Insider,Unpatched Software,Antivirus,43.0,9.63286309710933e-05,Medium (24-72h),5,Critical: High Impact on Both
USA,2015,Man-in-the-Middle,Education,37.18,270984,Nation-state,Zero-day,Encryption,28.0,0.0001372036725415,Medium (24-72h),4,Standard: Moderate Impact
India,2022,Malware,Government,27.09,979810,Insider,Weak Passwords,VPN,34.0,2.7648217511558363e-05,Medium (24-72h),0,Widespread: High User Impact
Germany,2015,SQL Injection,Government,0.72,944106,Insider,Unpatched Software,VPN,2.0,7.626262305291991e-07,Fast (<24h),0,Widespread: High User Impact
Russia,2023,Phishing,Banking,9.24,612761,Nation-state,Unpatched Software,Encryption,71.0,1.5079288662300635e-05,Medium (24-72h),0,Widespread: High User Impact
Australia,2018,Malware,Telecommunications,8.69,813960,Hacker Group,Weak Passwords,VPN,6.0,1.0676200304683277e-05,Fast (<24h),0,Widespread: High User Impact
Germany,2021,DDoS,Healthcare,32.07,510895,Unknown,Weak Passwords,Antivirus,6.0,6.277219389502735e-05,Fast (<24h),4,Standard: Moderate Impact
India,2023,Malware,Healthcare,71.94,652957,Insider,Weak Passwords,Encryption,65.0,0.0001101757083544,Medium (24-72h),5,Critical: High Impact on Both
Japan,2022,Ransomware,IT,84.09,991854,Unknown,Unpatched Software,VPN,11.0,8.478062295458807e-05,Fast (<24h),2,Critical: High Impact on Both
India,2018,Ransomware,Retail,56.06,382041,Unknown,Weak Passwords,Encryption,4.0,0.000146738177316,Fast (<24h),4,Standard: Moderate Impact
USA,2015,Man-in-the-Middle,Government,47.76,428556,Unknown,Weak Passwords,Antivirus,15.0,0.0001114440119844,Fast (<24h),4,Standard: Moderate Impact
UK,2019,SQL Injection,Banking,79.34,455556,Insider,Social Engineering,Firewall,1.0,0.0001741608056967,Fast (<24h),2,Critical: High Impact on Both
Australia,2022,Ransomware,Healthcare,17.58,18399,Unknown,Zero-day,Firewall,14.0,0.0009554867112343,Fast (<24h),4,Standard: Moderate Impact
Germany,2016,Man-in-the-Middle,Government,97.79,984519,Nation-state,Unpatched Software,Firewall,57.0,9.932769199984968e-05,Medium (24-72h),5,Critical: High Impact on Both
Brazil,2021,DDoS,Retail,75.1,740795,Hacker Group,Unpatched Software,Firewall,12.0,0.0001013775740926,Fast (<24h),2,Critical: High Impact on Both
UK,2019,SQL Injection,Telecommunications,39.58,483585,Unknown,Unpatched Software,Encryption,13.0,8.184703826628203e-05,Fast (<24h),4,Standard: Moderate Impact
Brazil,2021,Ransomware,Healthcare,78.08,989151,Unknown,Social Engineering,AI-based Detection,2.0,7.893638079524763e-05,Fast (<24h),2,Critical: High Impact on Both
Germany,2016,SQL Injection,Government,63.89,946613,Insider,Social Engineering,AI-based Detection,21.0,6.74932628222938e-05,Fast (<24h),2,Critical: High Impact on Both
Australia,2021,Ransomware,Banking,24.33,77845,Insider,Social Engineering,AI-based Detection,26.0,0.0003125441582632,Medium (24-72h),4,Standard: Moderate Impact
India,2020,Ransomware,IT,70.91,403494,Hacker Group,Social Engineering,Firewall,3.0,0.0001757399118698,Fast (<24h),2,Critical: High Impact on Both
Germany,2018,Man-in-the-Middle,Banking,23.32,524693,Unknown,Unpatched Software,VPN,63.0,4.4445037383765367e-05,Medium (24-72h),3,Standard: Moderate Impact
UK,2016,Phishing,Education,9.84,628589,Unknown,Unpatched Software,Encryption,8.0,1.565410785107598e-05,Fast (<24h),4,Standard: Moderate Impact
Australia,2018,Man-in-the-Middle,Healthcare,34.29,943349,Nation-state,Zero-day,Antivirus,5.0,3.634921964193528e-05,Fast (<24h),2,Critical: High Impact on Both
Brazil,2018,DDoS,Retail,1.58,100633,Insider,Zero-day,Encryption,53.0,1.5700615106376636e-05,Medium (24-72h),3,Standard: Moderate Impact
France,2017,Phishing,Government,59.64,551515,Unknown,Zero-day,AI-based Detection,37.0,0.0001081384912468,Medium (24-72h),5,Critical: High Impact on Both
Germany,2023,Man-in-the-Middle,Banking,80.97,289046,Nation-state,Zero-day,Encryption,41.0,0.0002801284224656,Medium (24-72h),1,Targeted: High Financial Impact
Australia,2021,Malware,Retail,22.48,70067,Insider,Weak Passwords,VPN,22.0,0.0003208357714758,Fast (<24h),4,Standard: Moderate Impact
France,2022,Phishing,Banking,69.99,366596,Insider,Weak Passwords,AI-based Detection,65.0,0.0001909186134054,Medium (24-72h),5,Critical: High Impact on Both
Japan,2021,SQL Injection,IT,51.24,452476,Nation-state,Zero-day,VPN,41.0,0.0001132435753498,Medium (24-72h),3,Standard: Moderate Impact
Japan,2020,SQL Injection,Banking,70.14,575065,Insider,Weak Passwords,Encryption,61.0,0.0001219688209158,Medium (24-72h),5,Critical: High Impact on Both
Japan,2024,Man-in-the-Middle,Education,68.35,474131,Insider,Unpatched Software,Firewall,41.0,0.0001441584709711,Medium (24-72h),1,Targeted: High Financial Impact
USA,2016,Phishing,Education,86.3,702702,Hacker Group,Zero-day,Encryption,14.0,0.0001228116612731,Fast (<24h),2,Critical: High Impact on Both
Australia,2023,DDoS,Government,97.18,692900,Unknown,Social Engineering,Encryption,72.0,0.0001402511184875,Medium (24-72h),5,Critical: High Impact on Both
Brazil,2021,SQL Injection,IT,92.4,654303,Hacker Group,Unpatched Software,AI-based Detection,15.0,0.0001412189765292,Fast (<24h),2,Critical: High Impact on Both
Russia,2022,Ransomware,Banking,50.11,851222,Insider,Weak Passwords,Encryption,16.0,5.8868309324712e-05,Fast (<24h),2,Critical: High Impact on Both
Australia,2016,Man-in-the-Middle,Government,35.59,729762,Insider,Social Engineering,VPN,6.0,4.876932479356284e-05,Fast (<24h),2,Critical: High Impact on Both
USA,2022,DDoS,Healthcare,56.89,388698,Nation-state,Social Engineering,VPN,35.0,0.0001463604134829,Medium (24-72h),1,Targeted: High Financial Impact
Australia,2019,SQL Injection,Telecommunications,86.79,293647,Nation-state,Social Engineering,AI-based Detection,37.0,0.0002955589534372,Medium (24-72h),1,Targeted: High Financial Impact
China,2021,Phishing,Government,84.49,884734,Hacker Group,Weak Passwords,Encryption,6.0,9.54976297960743e-05,Fast (<24h),2,Critical: High Impact on Both
UK,2023,DDoS,IT,52.75,638329,Hacker Group,Social Engineering,Firewall,11.0,8.263763670458337e-05,Fast (<24h),2,Critical: High Impact on Both
India,2019,DDoS,Government,63.63,47191,Insider,Unpatched Software,VPN,28.0,0.0013483503210357,Medium (24-72h),1,Targeted: High Financial Impact
Brazil,2023,Phishing,Retail,42.69,309021,Unknown,Unpatched Software,Encryption,2.0,0.000138145951246,Fast (<24h),4,Standard: Moderate Impact
Germany,2018,DDoS,Telecommunications,15.14,834902,Nation-state,Weak Passwords,Firewall,63.0,1.8133864812876243e-05,Medium (24-72h),0,Widespread: High User Impact
France,2016,DDoS,Banking,25.81,132286,Insider,Unpatched Software,Antivirus,66.0,0.000195107569962,Medium (24-72h),3,Standard: Moderate Impact
France,2023,SQL Injection,Banking,46.58,659062,Unknown,Unpatched Software,Antivirus,42.0,7.067620345278592e-05,Medium (24-72h),0,Widespread: High User Impact
France,2020,Malware,Telecommunications,93.88,69492,Hacker Group,Social Engineering,Encryption,29.0,0.0013509468715823,Medium (24-72h),1,Targeted: High Financial Impact
Russia,2017,Phishing,IT,53.07,388154,Nation-state,Zero-day,AI-based Detection,29.0,0.0001367240837399,Medium (24-72h),1,Targeted: High Financial Impact
Brazil,2024,DDoS,Government,24.23,889448,Hacker Group,Zero-day,VPN,20.0,2.724161502414981e-05,Fast (<24h),0,Widespread: High User Impact
UK,2022,Phishing,Retail,49.08,445458,Hacker Group,Unpatched Software,Antivirus,36.0,0.0001101787373893,Medium (24-72h),1,Targeted: High Financial Impact
UK,2019,Phishing,Banking,84.5,828382,Hacker Group,Weak Passwords,AI-based Detection,4.0,0.0001020060793208,Fast (<24h),2,Critical: High Impact on Both
Russia,2024,SQL Injection,Education,99.31,362492,Insider,Weak Passwords,AI-based Detection,63.0,0.0002739646668064,Medium (24-72h),5,Critical: High Impact on Both
Japan,2021,Man-in-the-Middle,Healthcare,55.4,68886,Hacker Group,Weak Passwords,AI-based Detection,41.0,0.0008042272740469,Medium (24-72h),1,Targeted: High Financial Impact
Japan,2017,DDoS,Education,7.84,165722,Unknown,Unpatched Software,Encryption,23.0,4.730814255198465e-05,Fast (<24h),4,Standard: Moderate Impact
India,2020,SQL Injection,Government,99.72,604113,Insider,Weak Passwords,Encryption,7.0,0.0001650684557359,Fast (<24h),2,Critical: High Impact on Both
France,2019,Man-in-the-Middle,Healthcare,39.48,450466,Unknown,Unpatched Software,VPN,52.0,8.764257457832555e-05,Medium (24-72h),3,Standard: Moderate Impact
Australia,2019,Phishing,Banking,1.13,507976,Hacker Group,Zero-day,AI-based Detection,70.0,2.224514543994204e-06,Medium (24-72h),3,Standard: Moderate Impact
India,2018,DDoS,Banking,43.45,180980,Hacker Group,Unpatched Software,AI-based Detection,15.0,0.0002400817769919,Fast (<24h),4,Standard: Moderate Impact
France,2020,Ransomware,Healthcare,37.36,745273,Insider,Zero-day,Firewall,67.0,5.012928148477135e-05,Medium (24-72h),0,Widespread: High User Impact
Germany,2023,SQL Injection,Telecommunications,94.14,536737,Unknown,Unpatched Software,Encryption,44.0,0.0001753931627594,Medium (24-72h),5,Critical: High Impact on Both
Germany,2020,SQL Injection,Banking,65.24,202102,Insider,Unpatched Software,Antivirus,54.0,0.0003228072953261,Medium (24-72h),3,Standard: Moderate Impact
Brazil,2021,DDoS,Education,80.79,134998,Unknown,Zero-day,AI-based Detection,42.0,0.0005984533104194,Medium (24-72h),1,Targeted: High Financial Impact
India,2015,Ransomware,Banking,81.81,41635,Nation-state,Unpatched Software,Encryption,37.0,0.0019649333493455,Medium (24-72h),1,Targeted: High Financial Impact
Japan,2022,Phishing,Telecommunications,35.54,604908,Unknown,Zero-day,Antivirus,25.0,5.875273595323586e-05,Medium (24-72h),0,Widespread: High User Impact
France,2020,Man-in-the-Middle,IT,88.42,688016,Nation-state,Zero-day,Antivirus,26.0,0.0001285144531522,Medium (24-72h),2,Critical: High Impact on Both
Brazil,2020,Ransomware,IT,56.59,679131,Hacker Group,Weak Passwords,AI-based Detection,55.0,8.332707533598085e-05,Medium (24-72h),5,Critical: High Impact on Both
India,2015,DDoS,Retail,39.28,585934,Insider,Unpatched Software,Antivirus,13.0,6.703826710858219e-05,Fast (<24h),4,Standard: Moderate Impact
USA,2023,Man-in-the-Middle,IT,88.81,762605,Nation-state,Unpatched Software,Encryption,53.0,0.0001164560945705,Medium (24-72h),5,Critical: High Impact on Both
UK,2021,Malware,Healthcare,58.9,984973,Unknown,Zero-day,Encryption,30.0,5.979859346398328e-05,Medium (24-72h),2,Critical: High Impact on Both
Russia,2020,Phishing,Education,9.52,889970,Nation-state,Unpatched Software,VPN,20.0,1.0696989786172569e-05,Fast (<24h),0,Widespread: High User Impact
USA,2020,Phishing,Healthcare,39.92,376443,Insider,Zero-day,Antivirus,20.0,0.00010604527113,Fast (<24h),4,Standard: Moderate Impact
UK,2023,Phishing,Retail,28.54,699386,Nation-state,Weak Passwords,Encryption,20.0,4.080722233501957e-05,Fast (<24h),0,Widespread: High User Impact
Russia,2020,Man-in-the-Middle,Retail,74.11,158758,Nation-state,Zero-day,Antivirus,72.0,0.0004668111213293,Medium (24-72h),3,Standard: Moderate Impact
China,2021,Man-in-the-Middle,Banking,85.26,812101,Insider,Social Engineering,VPN,52.0,0.0001049869412794,Medium (24-72h),5,Critical: High Impact on Both
UK,2020,Phishing,Telecommunications,43.72,402744,Insider,Zero-day,AI-based Detection,65.0,0.0001085553105694,Medium (24-72h),3,Standard: Moderate Impact
Japan,2015,Malware,Healthcare,77.01,182338,Unknown,Social Engineering,Firewall,72.0,0.0004223475084732,Medium (24-72h),3,Standard: Moderate Impact
Germany,2017,Man-in-the-Middle,Banking,88.03,587213,Unknown,Weak Passwords,AI-based Detection,32.0,0.0001499115312501,Medium (24-72h),2,Critical: High Impact on Both
France,2024,DDoS,Government,86.65,419571,Nation-state,Zero-day,AI-based Detection,72.0,0.0002065204697178,Medium (24-72h),5,Critical: High Impact on Both
Germany,2017,SQL Injection,IT,33.79,772541,Nation-state,Unpatched Software,Antivirus,46.0,4.373877891270496e-05,Medium (24-72h),0,Widespread: High User Impact
Germany,2020,SQL Injection,Retail,76.04,759384,Nation-state,Unpatched Software,AI-based Detection,22.0,0.0001001337926529,Fast (<24h),2,Critical: High Impact on Both
China,2015,Ransomware,Government,57.59,887037,Insider,Unpatched Software,VPN,39.0,6.492401106154535e-05,Medium (24-72h),2,Critical: High Impact on Both
China,2016,Ransomware,IT,37.22,788555,Insider,Unpatched Software,Encryption,43.0,4.720025870104178e-05,Medium (24-72h),0,Widespread: High User Impact
India,2020,Man-in-the-Middle,Telecommunications,57.89,438137,Unknown,Unpatched Software,VPN,18.0,0.0001321276221821,Fast (<24h),2,Critical: High Impact on Both
Australia,2024,Ransomware,Government,3.37,414907,Hacker Group,Zero-day,Firewall,42.0,8.122302106255137e-06,Medium (24-72h),0,Widespread: High User Impact
Australia,2021,Ransomware,Telecommunications,88.2,576302,Hacker Group,Zero-day,AI-based Detection,2.0,0.0001530447577832,Fast (<24h),2,Critical: High Impact on Both
USA,2020,DDoS,IT,96.08,156275,Insider,Social Engineering,Encryption,24.0,0.0006148136298192,Fast (<24h),1,Targeted: High Financial Impact
Japan,2024,DDoS,Government,84.36,234154,Nation-state,Unpatched Software,VPN,42.0,0.0003602757159817,Medium (24-72h),1,Targeted: High Financial Impact
Brazil,2022,Phishing,IT,92.58,176386,Hacker Group,Unpatched Software,VPN,63.0,0.000524871588448,Medium (24-72h),1,Targeted: High Financial Impact
Japan,2015,Malware,Healthcare,27.92,775042,Unknown,Zero-day,Encryption,12.0,3.6023854191127706e-05,Fast (<24h),0,Widespread: High User Impact
Germany,2016,Phishing,Telecommunications,46.28,992092,Hacker Group,Unpatched Software,Encryption,3.0,4.664889949722405e-05,Fast (<24h),2,Critical: High Impact on Both
France,2016,Ransomware,Education,25.55,883536,Hacker Group,Unpatched Software,AI-based Detection,66.0,2.891789355498814e-05,Medium (24-72h),0,Widespread: High User Impact
France,2017,Phishing,Banking,15.14,276541,Hacker Group,Social Engineering,AI-based Detection,16.0,5.474775892182353e-05,Fast (<24h),4,Standard: Moderate Impact
India,2024,Phishing,Telecommunications,50.64,513620,Unknown,Unpatched Software,Antivirus,65.0,9.85942914995522e-05,Medium (24-72h),3,Standard: Moderate Impact
Germany,2022,Phishing,Banking,31.73,397919,Nation-state,Social Engineering,Encryption,22.0,7.973984655168515e-05,Fast (<24h),4,Standard: Moderate Impact
Russia,2021,Phishing,Telecommunications,73.93,32743,Hacker Group,Zero-day,VPN,18.0,0.002257887181993,Fast (<24h),1,Targeted: High Financial Impact
Germany,2020,Phishing,Government,40.62,318648,Insider,Zero-day,Encryption,1.0,0.0001274760864653,Fast (<24h),4,Standard: Moderate Impact
USA,2022,Ransomware,Education,14.5,353297,Insider,Weak Passwords,VPN,58.0,4.104195620115653e-05,Medium (24-72h),3,Standard: Moderate Impact
Russia,2017,Malware,IT,20.85,484009,Insider,Weak Passwords,Firewall,41.0,4.307771136487132e-05,Medium (24-72h),0,Widespread: High User Impact
Russia,2024,Malware,Government,49.51,872411,Hacker Group,Zero-day,Firewall,5.0,5.675077457757868e-05,Fast (<24h),2,Critical: High Impact on Both
Germany,2023,Man-in-the-Middle,Education,26.14,876348,Unknown,Social Engineering,Encryption,1.0,2.9828333036647545e-05,Fast (<24h),2,Critical: High Impact on Both
China,2021,SQL Injection,Government,13.76,11310,Hacker Group,Weak Passwords,Antivirus,71.0,0.0012166224580017,Medium (24-72h),3,Standard: Moderate Impact
UK,2018,SQL Injection,Retail,72.21,597358,Nation-state,Zero-day,VPN,30.0,0.0001208822849949,Medium (24-72h),2,Critical: High Impact on Both
India,2022,SQL Injection,Healthcare,91.91,180456,Unknown,Unpatched Software,VPN,8.0,0.0005093208316708,Fast (<24h),1,Targeted: High Financial Impact
Russia,2021,DDoS,Retail,79.06,368255,Nation-state,Social Engineering,Encryption,17.0,0.0002146881916063,Fast (<24h),1,Targeted: High Financial Impact
India,2022,Malware,Education,7.17,268414,Insider,Unpatched Software,Encryption,9.0,2.6712466562846945e-05,Fast (<24h),4,Standard: Moderate Impact
China,2019,SQL Injection,Healthcare,79.28,891504,Insider,Zero-day,Firewall,63.0,8.892837272743588e-05,Medium (24-72h),5,Critical: High Impact on Both
Japan,2023,Phishing,Healthcare,48.25,3395,Nation-state,Weak Passwords,Antivirus,58.0,0.0142120765832106,Medium (24-72h),3,Standard: Moderate Impact
China,2023,Ransomware,Education,45.88,164890,Unknown,Weak Passwords,AI-based Detection,20.0,0.0002782461034629,Fast (<24h),4,Standard: Moderate Impact
India,2020,SQL Injection,Banking,89.8,895388,Insider,Social Engineering,AI-based Detection,54.0,0.0001002917171103,Medium (24-72h),5,Critical: High Impact on Both
India,2020,SQL Injection,Telecommunications,17.47,436517,Nation-state,Weak Passwords,Antivirus,61.0,4.0021350829406415e-05,Medium (24-72h),3,Standard: Moderate Impact
India,2018,Phishing,IT,70.85,677164,Nation-state,Weak Passwords,Firewall,7.0,0.0001046275348364,Fast (<24h),2,Critical: High Impact on Both
Russia,2024,Man-in-the-Middle,Banking,93.13,414192,Nation-state,Weak Passwords,Firewall,34.0,0.0002248474137598,Medium (24-72h),1,Targeted: High Financial Impact
Russia,2021,Man-in-the-Middle,Retail,39.73,80069,Insider,Unpatched Software,VPN,8.0,0.0004961970300615,Fast (<24h),4,Standard: Moderate Impact
UK,2016,Phishing,IT,1.28,604185,Unknown,Zero-day,Firewall,57.0,2.118556402426409e-06,Medium (24-72h),0,Widespread: High User Impact
Brazil,2021,SQL Injection,IT,83.99,807733,Unknown,Weak Passwords,Encryption,18.0,0.0001039823803162,Fast (<24h),2,Critical: High Impact on Both
France,2019,SQL Injection,Telecommunications,16.51,945154,Nation-state,Social Engineering,AI-based Detection,63.0,1.7468052825253875e-05,Medium (24-72h),0,Widespread: High User Impact
Germany,2023,Malware,Retail,62.43,918454,Unknown,Unpatched Software,Firewall,15.0,6.79729197107313e-05,Fast (<24h),2,Critical: High Impact on Both
Australia,2017,Phishing,Retail,56.1,450205,Unknown,Zero-day,Firewall,32.0,0.0001246098999344,Medium (24-72h),1,Targeted: High Financial Impact
Japan,2016,Malware,Telecommunications,87.52,476001,Hacker Group,Social Engineering,VPN,58.0,0.0001838651599471,Medium (24-72h),5,Critical: High Impact on Both
Russia,2018,Phishing,IT,65.88,503520,Hacker Group,Zero-day,Encryption,48.0,0.0001308388941849,Medium (24-72h),5,Critical: High Impact on Both
USA,2024,SQL Injection,Retail,86.29,457411,Nation-state,Zero-day,VPN,34.0,0.0001886487207347,Medium (24-72h),1,Targeted: High Financial Impact
China,2018,Malware,Education,62.82,580609,Unknown,Weak Passwords,AI-based Detection,29.0,0.0001081967382524,Medium (24-72h),2,Critical: High Impact on Both
UK,2022,Phishing,Banking,18.45,848022,Hacker Group,Social Engineering,Antivirus,10.0,2.1756511033911856e-05,Fast (<24h),0,Widespread: High User Impact
Brazil,2022,Phishing,Education,75.42,761590,Unknown,Unpatched Software,AI-based Detection,45.0,9.902966162896048e-05,Medium (24-72h),5,Critical: High Impact on Both
Brazil,2022,DDoS,Education,17.68,366968,Nation-state,Social Engineering,VPN,47.0,4.81785877787709e-05,Medium (24-72h),3,Standard: Moderate Impact
Brazil,2021,Man-in-the-Middle,Education,27.95,625370,Insider,Social Engineering,Firewall,24.0,4.46935414234773e-05,Fast (<24h),0,Widespread: High User Impact
UK,2018,Ransomware,Healthcare,60.01,193378,Unknown,Unpatched Software,Encryption,32.0,0.0003103248559815,Medium (24-72h),1,Targeted: High Financial Impact
Brazil,2024,DDoS,Healthcare,92.34,375691,Insider,Zero-day,Encryption,21.0,0.0002457870963105,Fast (<24h),1,Targeted: High Financial Impact
Australia,2017,SQL Injection,Banking,7.21,526324,Insider,Unpatched Software,VPN,39.0,1.3698786298933736e-05,Medium (24-72h),0,Widespread: High User Impact
France,2020,Malware,Healthcare,76.42,50468,Hacker Group,Social Engineering,AI-based Detection,64.0,0.0015142268368074,Medium (24-72h),3,Standard: Moderate Impact
India,2020,Phishing,IT,3.2,922656,Insider,Zero-day,AI-based Detection,17.0,3.468248187840322e-06,Fast (<24h),0,Widespread: High User Impact
India,2018,Ransomware,Retail,62.59,498457,Insider,Weak Passwords,VPN,12.0,0.000125567501309,Fast (<24h),2,Critical: High Impact on Both
Brazil,2023,SQL Injection,Education,89.04,351850,Hacker Group,Social Engineering,Encryption,21.0,0.0002530623845388,Fast (<24h),1,Targeted: High Financial Impact
USA,2015,DDoS,Retail,76.95,391982,Unknown,Social Engineering,Firewall,46.0,0.0001963100346444,Medium (24-72h),1,Targeted: High Financial Impact
Australia,2021,Malware,Telecommunications,51.66,247243,Nation-state,Zero-day,Antivirus,69.0,0.0002089442370461,Medium (24-72h),3,Standard: Moderate Impact
Japan,2020,Phishing,Banking,39.33,257190,Insider,Unpatched Software,Encryption,14.0,0.0001529219643065,Fast (<24h),4,Standard: Moderate Impact
Australia,2015,SQL Injection,Retail,89.77,804658,Nation-state,Unpatched Software,AI-based Detection,23.0,0.0001115629248699,Fast (<24h),2,Critical: High Impact on Both
Russia,2024,Man-in-the-Middle,Education,75.95,758032,Insider,Social Engineering,Antivirus,30.0,0.0001001936593705,Medium (24-72h),2,Critical: High Impact on Both
France,2017,DDoS,Telecommunications,13.31,381948,Unknown,Weak Passwords,AI-based Detection,46.0,3.484767559981987e-05,Medium (24-72h),3,Standard: Moderate Impact
Australia,2018,DDoS,Retail,40.0,152435,Unknown,Weak Passwords,Firewall,26.0,0.0002624069275428,Medium (24-72h),4,Standard: Moderate Impact
Brazil,2020,Ransomware,Banking,99.9,429566,Nation-state,Zero-day,AI-based Detection,54.0,0.000232560305052,Medium (24-72h),5,Critical: High Impact on Both
Germany,2022,Ransomware,Healthcare,61.99,496292,Nation-state,Zero-day,AI-based Detection,21.0,0.000124906305159,Fast (<24h),2,Critical: High Impact on Both
Germany,2023,Man-in-the-Middle,Healthcare,75.8,943724,Insider,Unpatched Software,AI-based Detection,58.0,8.032009358668424e-05,Medium (24-72h),5,Critical: High Impact on Both
Japan,2022,Man-in-the-Middle,Government,39.87,243600,Unknown,Weak Passwords,AI-based Detection,40.0,0.0001636699507389,Medium (24-72h),3,Standard: Moderate Impact
USA,2017,Phishing,IT,48.96,480386,Nation-state,Zero-day,Antivirus,18.0,0.0001019180409087,Fast (<24h),4,Standard: Moderate Impact
India,2020,Ransomware,Healthcare,70.67,564046,Insider,Social Engineering,Firewall,39.0,0.0001252911996539,Medium (24-72h),5,Critical: High Impact on Both
Japan,2022,Malware,Retail,26.7,50007,Nation-state,Weak Passwords,Antivirus,19.0,0.0005339252504649,Fast (<24h),4,Standard: Moderate Impact
Australia,2023,Malware,Retail,99.72,307143,Hacker Group,Social Engineering,VPN,1.0,0.0003246696164327,Fast (<24h),1,Targeted: High Financial Impact
Russia,2023,DDoS,IT,22.71,356964,Insider,Unpatched Software,Firewall,27.0,6.361986082630182e-05,Medium (24-72h),4,Standard: Moderate Impact
USA,2024,SQL Injection,Retail,94.83,891369,Hacker Group,Social Engineering,Antivirus,71.0,0.0001063869172026,Medium (24-72h),5,Critical: High Impact on Both
Japan,2020,DDoS,Retail,37.81,482700,Insider,Unpatched Software,VPN,55.0,7.833022581313446e-05,Medium (24-72h),3,Standard: Moderate Impact
China,2018,Phishing,Healthcare,42.93,596628,Hacker Group,Unpatched Software,Antivirus,60.0,7.195438363603452e-05,Medium (24-72h),5,Critical: High Impact on Both
Russia,2022,Ransomware,Telecommunications,89.33,776295,Unknown,Zero-day,VPN,40.0,0.0001150722341377,Medium (24-72h),5,Critical: High Impact on Both
USA,2016,Phishing,Banking,38.58,447486,Insider,Weak Passwords,Encryption,7.0,8.621498773145974e-05,Fast (<24h),4,Standard: Moderate Impact
USA,2022,Man-in-the-Middle,Retail,75.51,298887,Nation-state,Zero-day,VPN,44.0,0.0002526372843248,Medium (24-72h),1,Targeted: High Financial Impact
India,2015,Ransomware,Government,56.3,59582,Nation-state,Unpatched Software,VPN,56.0,0.0009449162498741,Medium (24-72h),3,Standard: Moderate Impact
Brazil,2024,Ransomware,Healthcare,6.67,553944,Hacker Group,Social Engineering,Encryption,64.0,1.2040928324884823e-05,Medium (24-72h),0,Widespread: High User Impact
Russia,2024,Ransomware,Banking,80.29,507258,Nation-state,Social Engineering,Antivirus,30.0,0.0001582823730724,Medium (24-72h),1,Targeted: High Financial Impact
Russia,2024,DDoS,Government,94.6,82500,Hacker Group,Zero-day,AI-based Detection,28.0,0.0011466666666666,Medium (24-72h),1,Targeted: High Financial Impact
Germany,2021,SQL Injection,Retail,27.54,383781,Nation-state,Zero-day,Antivirus,57.0,7.175967543989931e-05,Medium (24-72h),3,Standard: Moderate Impact
Australia,2020,Ransomware,Banking,97.48,647303,Insider,Zero-day,Antivirus,37.0,0.0001505940803611,Medium (24-72h),5,Critical: High Impact on Both
USA,2016,Phishing,IT,68.23,877998,Nation-state,Weak Passwords,Antivirus,23.0,7.771088316829879e-05,Fast (<24h),2,Critical: High Impact on Both
India,2015,SQL Injection,Government,56.84,631420,Nation-state,Unpatched Software,Firewall,68.0,9.001932152925154e-05,Medium (24-72h),5,Critical: High Impact on Both
France,2023,Ransomware,Telecommunications,84.79,263566,Hacker Group,Zero-day,AI-based Detection,64.0,0.0003217031028281,Medium (24-72h),5,Critical: High Impact on Both
UK,2021,Ransomware,Banking,4.22,65148,Nation-state,Weak Passwords,VPN,15.0,6.477558789218395e-05,Fast (<24h),4,Standard: Moderate Impact
Russia,2020,Ransomware,Telecommunications,58.73,345623,Unknown,Weak Passwords,AI-based Detection,67.0,0.0001699250339242,Medium (24-72h),3,Standard: Moderate Impact
China,2015,Ransomware,IT,60.43,962452,Nation-state,Unpatched Software,Encryption,34.0,6.27875468075291e-05,Medium (24-72h),2,Critical: High Impact on Both
Germany,2024,Phishing,IT,2.85,951767,Nation-state,Weak Passwords,AI-based Detection,10.0,2.994430359531272e-06,Fast (<24h),0,Widespread: High User Impact
